Site,Variable,sage,total
mbsec,LAI,0.67,1.21
losec,LAI,0.3,0.43
wbsec,LAI,0.25,0.36
mbsec,FPC,0.46,0.75
losec,FPC,0.3,0.66
wbsec,FPC,0.19,0.61
